property_id,serial_number,mac_address,ip_address,name,type,room,building,community,jack,,
A016122,BN0016704,000B8681694C,10.151.171.8,slo-rw171a-a108-c,2.4,A108-C,Aliso,Poly Canyon Village,W,,
A016123,BN0016726,000B868169BA,10.151.171.9,slo-rw171a-a109-l,5,A109-L,Aliso,Poly Canyon Village,W,,
A016124,BN0017010,000B86816F46,10.151.171.10,slo-rw171a-a109-c,2.4,A109-C,Aliso,Poly Canyon Village,W,,
A016125,BN0017009,000B86816F41,10.151.171.11,slo-rw171a-a110-l,5,A110-L,Aliso,Poly Canyon Village,W,,
A016126,BN0016659,000B8681686B,10.151.171.12,slo-rw171a-a110-b,2.4,A110-B,Aliso,Poly Canyon Village,W,,
A016127,BN0016860,000B86816C58,10.151.171.13,slo-rw171a-a111-b,2.4,A111-B,Aliso,Poly Canyon Village,W,,
A016128,BN0016772,000B86816AA0,10.151.171.14,slo-rw171a-a111-c,5,A111-C,Aliso,Poly Canyon Village,W,,
A016129,BN0017008,000B86816F3C,10.151.161.1,slo-rw171a-a112-l,5,A112-L,Aliso,Poly Canyon Village,W,,
A016130,BN0016795,000B86816B13,10.151.161.2,slo-rw171a-a112-c,2.4,A112-C,Aliso,Poly Canyon Village,W,,
A016131,BN0016782,000B86816AD2,10.151.161.3,slo-rw171a-a113-l,5,A113-L,Aliso,Poly Canyon Village,W,,
A016132,BN0016783,000B86816AD7,10.151.161.4,slo-rw171a-a113-c,2.4,A113-C,Aliso,Poly Canyon Village,W,,
A016133,BN0016284,000B86816118,10.151.161.5,slo-rw171a-a113-am,AM,A113-A,Aliso,Poly Canyon Village,W,,
A016134,BN0016990,000B86816EE2,10.151.161.6,slo-rw171a-a114-b,2.4,A114-B,Aliso,Poly Canyon Village,W,,
A016135,BN0016967,000B86816E6F,10.151.161.7,slo-rw171a-a114-c,5,A114-C,Aliso,Poly Canyon Village,W,,
A016136,BN0016980,000B86816EB0,10.151.172.12,slo-rw171a-a119-sr,2.4,A119,Aliso,Poly Canyon Village,W,,
A016137,BN0016971,000B86816E83,10.151.171.15,slo-rw171a-a120-lr,2.4,A120,Aliso,Poly Canyon Village,W,,
