community,building,room,switch_ip,switch_name,jack,blade,port,vlan,notes
Yosemite,Tower 2,1X,207.62.169.43,YosTwr2,W,2,19,1,
South Mountain,Trinity,236A,207.62.169.21,trinity,W,6,47,1,
South Mountain,Trinity,100A,207.62.169.21,trinity,W,6,46,1,
South Mountain,Trinity,100A,207.62.169.21,trinity,X,6,45,1,
South Mountain,Trinity,100L,207.62.169.21,trinity,W,6,35,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,W,6,44,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,X,6,43,1,
South Mountain,Trinity,100K,207.62.169.21,trinity,Y,6,42,1,
South Mountain,Trinity,100J,207.62.169.21,trinity,W,6,36,1,
North Mountain,Shasta,B1,207.62.169.11,shasta,W,2,46,1,
North Mountain,Diablo,B1,207.62.169.12,diablo,W,2,13,1,
North Mountain,Palomar,B1,207.62.169.13,palomar,W,2,13,1,
North Mountain,Whitney,B1,207.62.169.14,whitney,W,2,13,1,
North Mountain,Lassen,B1,207.62.169.81,lassen,W,3,13,1,
South Mountain,Santa Lucia,100A,207.62.169.22,santalucia,W,6,38,1,
South Mountain,Santa Lucia,100A,207.62.169.22,santalucia,Y,6,39,1,
South Mountain,Santa Lucia,100L,207.62.169.22,santalucia,W,6,46,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,W,6,40,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,X,6,41,1,
South Mountain,Santa Lucia,100K,207.62.169.22,santalucia,Y,6,42,1,
South Mountain,Muir,300,207.62.169.23,muir,W,6,29,1,
South Mountain,Muir,100A,207.62.169.23,muir,W,6,47,1,
South Mountain,Muir,100A,207.62.169.23,muir,Y,6,46,1,
South Mountain,Muir,100L,207.62.169.23,muir,W,6,36,1,
South Mountain,Muir,100K,207.62.169.23,muir,W,6,45,1,
South Mountain,Muir,100K,207.62.169.23,muir,X,6,44,1,
South Mountain,Muir,100K,207.62.169.23,muir,Y,6,43,1,
South Mountain,Muir,100J,207.62.169.23,muir,W,6,34,1,
South Mountain,Sequoia,100A,207.62.170.93,Sequoia,W,8,48,1,
South Mountain,Sequoia,100A,207.62.170.93,Sequoia,Y,8,47,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,W,8,46,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,X,8,45,1,
South Mountain,Sequoia,100K,207.62.170.93,Sequoia,Y,8,44,1,
South Mountain,Fremont,235A,207.62.169.25,fremont,W,6,39,1,
South Mountain,Fremont,100A,207.62.169.25,fremont,W,6,43,1,
South Mountain,Fremont,100A,207.62.169.25,fremont,Y,6,45,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,W,6,46,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,X,6,44,1,
South Mountain,Fremont,100K,207.62.169.25,fremont,Y,6,47,1,
South Mountain,Trinity,128L,207.62.169.21,trinity,W,1,34,1,
South Mountain,Trinity,121L,207.62.169.21,trinity,W,1,44,1,
South Mountain,Santa Lucia,128L,207.62.169.22,santalucia,W,1,34,1,
South Mountain,Santa Lucia,121L,207.62.169.22,santalucia,W,1,36,1,
South Mountain,Muir,127L,207.62.169.23,muir,W,1,32,1,
South Mountain,Muir,122L,207.62.169.23,muir,W,1,46,1,
South Mountain,Sequoia,127L,207.62.170.93,Sequoia,W,2,6,1,
South Mountain,Sequoia,122L,207.62.170.93,Sequoia,W,1,45,1,
South Mountain,Fremont,127L,207.62.169.25,fremont,W,1,32,1,
South Mountain,Fremont,122L,207.62.169.25,fremont,W,1,34,1,
Cerro Vista,San Luis,G105,207.62.169.61,commons,W,2,46,1,
Cerro Vista,San Luis,G106,207.62.169.61,commons,W,2,45,1,
Cerro Vista,San Luis,G115,207.62.169.61,commons,W,2,47,1,
Cerro Vista,San Luis,G115D,207.62.169.61,commons,W,2,48,1,,
